kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_sma,koi_incl,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,koi_smet,koi_kepmag,koi_srho
K06012.01,FALSE POSITIVE,12.426173,30.64,115.1,0.997,36.9,2.67,1006.0,242.41,0.1057,33.57,0.018004,6367.0,4.181,1.357,1.019,-0.42,13.605,0.00021
K06013.01,FALSE POSITIVE,12.4244306,26.15,214.1,0.98,15.5,1.59,714.0,61.31,0.1003,46.31,0.018455,5761.0,4.581,0.791,0.881,-0.4,15.899,0.00035
K06014.01,FALSE POSITIVE,6.71738328,3.60057,164979.0,0.159,1208.2,37.65,883.0,143.87,0.0656,89.53,0.368371,5301.0,4.416,0.936,0.833,0.07,12.778,3.05468
K06015.01,FALSE POSITIVE,41.86539723,6.663,4309.3,1.286,103.4,31.14,500.0,14.79,0.2253,86.57,0.361885,6063.0,4.584,0.788,0.874,-0.72,14.528,0.10699
K06016.01,FALSE POSITIVE,4.553370029,3.2209,23692.1,0.951,570.6,25.84,1264.0,603.58,0.0537,83.34,0.213383,6306.0,4.346,1.109,0.991,-0.36,11.471,0.50326
K06017.01,FALSE POSITIVE,5.262652179,2.85554,22650.6,0.96,2246.9,35.99,1499.0,1191.71,0.0667,84.74,0.212787,7049.0,4.212,1.549,1.432,-0.04,13.537,0.78687
K06018.01,FALSE POSITIVE,16.621853404,3.91517,55296.7,0.58,1872.6,22.32,719.0,63.3,0.1207,89.05,0.225371,5949.0,4.451,0.907,0.848,-0.52,15.229,2.93856
K06019.01,FALSE POSITIVE,19.741616041,3.07231,88821.5,1.04,2153.0,82.98,902.0,156.6,0.1561,88.87,0.497012,6535.0,4.183,1.529,1.301,0.0,10.543,7.1654
K06020.01,FALSE POSITIVE,5.455766383,2.8923,104538.0,0.794,536.8,28.2,795.0,94.27,0.0549,87.18,0.372108,5067.0,4.625,0.694,0.742,-0.32,15.863,2.68022
K06021.01,FALSE POSITIVE,22.44620704,7.5491,1626.8,1.256,138.8,58.2,894.0,150.81,0.1595,80.64,0.299907,6070.0,3.969,1.777,1.074,-0.26,11.878,0.01729
K06022.01,FALSE POSITIVE,2.765621941,2.3191,8342.2,1.262,173.2,34.42,1134.0,391.86,0.0368,76.15,0.380702,5423.0,4.542,0.828,0.872,-0.06,15.664,0.36216
K06023.01,FALSE POSITIVE,3.664964374,3.9058,90827.0,0.552,437.8,30.98,1184.0,464.89,0.0449,86.22,0.28739,5726.0,4.403,0.987,0.899,-0.14,15.643,0.82956
K06024.01,FALSE POSITIVE,6.8072842,1.9477,14578.0,0.923,32.9,31.15,1156.0,421.16,0.0714,87.16,0.156405,5182.0,3.935,1.824,1.043,0.24,14.044,2.63981
K06025.01,FALSE POSITIVE,2.136577151,2.4682,79078.0,0.996,124.3,43.89,1311.0,698.75,0.0305,81.84,0.444073,5457.0,4.442,0.905,0.827,-0.12,15.281,1.42919
K06026.01,FALSE POSITIVE,2.638432816,2.42989,48488.0,0.863,529.4,49.77,1933.0,3299.02,0.0386,83.55,0.259996,6502.0,3.991,1.753,1.098,-0.5,12.601,1.23234
K06027.01,FALSE POSITIVE,11.991000357,6.4648,375940.0,0.534,802.9,78.78,897.0,153.29,0.0979,88.61,0.638469,5988.0,4.271,1.13,0.869,-0.46,17.777,1.39619
K06028.01,FALSE POSITIVE,37.80694072,3.84264,106334.0,1.111,1571.8,72.01,617.0,34.14,0.2308,89.26,0.596776,6387.0,4.41,1.105,1.145,-0.12,14.898,8.47498
